,accuracy,precision,recall,f1,auc
0,0.6,0.36,0.6,0.45,0.6481481481481481
1,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7222222222222222
2,0.6,0.36,0.6,0.45,0.6435185185185185
3,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7407407407407407
4,0.6,0.36,0.6,0.45,0.787037037037037
5,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7824074074074074
6,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7824074074074074
7,0.6,0.36,0.6,0.45,0.7731481481481481
8,0.6,0.36,0.6,0.45,0.7685185185185185
9,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7546296296296297
