,accuracy,precision,recall,f1,auc
0,0.6,0.36,0.6,0.45,0.6481481481481481
1,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7222222222222222
2,0.6,0.36,0.6,0.45,0.6435185185185185
3,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7407407407407407
4,0.6,0.36,0.6,0.45,0.787037037037037
5,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7824074074074074
6,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7824074074074074
7,0.6,0.36,0.6,0.45,0.7731481481481481
8,0.6,0.36,0.6,0.45,0.7685185185185185
9,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7546296296296297
10,0.6,0.36,0.6,0.45,0.7592592592592593
11,0.4,0.16000000000000003,0.4,0.22857142857142856,0.75
12,0.6,0.36,0.6,0.45,0.7546296296296297
13,0.6,0.36,0.6,0.45,0.7546296296296297
14,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7546296296296297
15,0.6,0.36,0.6,0.45,0.7592592592592593
16,0.6,0.36,0.6,0.45,0.7546296296296297
17,0.6,0.36,0.6,0.45,0.7546296296296297
18,0.6,0.36,0.6,0.45,0.7546296296296297
19,0.6,0.36,0.6,0.45,0.7546296296296297
20,0.4,0.16000000000000003,0.4,0.22857142857142856,0.7546296296296297
21,0.6,0.36,0.6,0.45,0.7546296296296297
22,0.6,0.36,0.6,0.45,0.763888888888889
23,0.6,0.36,0.6,0.45,0.763888888888889
24,0.6,0.36,0.6,0.45,0.7592592592592593
25,0.6,0.36,0.6,0.45,0.7592592592592593
26,0.6,0.36,0.6,0.45,0.7592592592592593
27,0.6,0.36,0.6,0.45,0.763888888888889
28,0.6,0.36,0.6,0.45,0.763888888888889
29,0.6,0.36,0.6,0.45,0.763888888888889
