,accuracy,precision,recall,f1,auc
0,0.45,0.20249999999999999,0.45,0.2793103448275862,0.0
1,0.45,0.20249999999999999,0.45,0.2793103448275862,0.37373737373737376
2,0.45,0.20249999999999999,0.45,0.2793103448275862,0.8787878787878788
3,0.45,0.20249999999999999,0.45,0.2793103448275862,0.8787878787878788
4,0.55,0.30250000000000005,0.55,0.3903225806451613,0.9898989898989898
5,0.45,0.20249999999999999,0.45,0.2793103448275862,0.9191919191919191
6,0.45,0.20249999999999999,0.45,0.2793103448275862,1.0
7,0.45,0.20249999999999999,0.45,0.2793103448275862,1.0
8,0.45,0.20249999999999999,0.45,0.2793103448275862,1.0
9,0.55,0.30250000000000005,0.55,0.3903225806451613,1.0
